Type,Localisation,Price,City,Area,Rooms,Bedrooms,Bathrooms,Floor,Current_state,Age
Appartements,Oasis ,1264660.0,Casablanca,55.0,0.0,1.0,1.0,4.0,Non Specifique,Non Specifique
Appartements,Racine ,2500000.0,Casablanca,165.0,4.0,3.0,2.0,3.0,Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,2450000.0,Casablanca,120.0,3.0,2.0,1.0,3.0,Non Specifique,Non Specifique
Appartements,Gauthier ,1737300.0,Casablanca,98.0,3.0,2.0,2.0,6.0,Non Specifique,Non Specifique
Appartements,Derb Ghalef ,1350000.0,Casablanca,101.0,3.0,2.0,2.0,6.0,Non Specifique,Non Specifique
Appartements,La Gironde ,1100000.0,Casablanca,96.0,4.0,2.0,2.0,2.0,Non Specifique,Non Specifique
Appartements,Aïn Sebaâ ,320000.0,Casablanca,50.0,3.0,2.0,1.0,2.0,Non Specifique,Non Specifique
Villas,Californie ,12000000.0,Casablanca,1105.0,8.0,4.0,4.0,0.0,Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,1995968.0,Casablanca,60.0,2.0,1.0,1.0,7.0,Non Specifique,Non Specifique
Appartements,Hay Alhoda ,530000.0,Casablanca,69.0,3.0,2.0,1.0,3.0,Non Specifique,Non Specifique
Appartements,Maârif Extension ,1200000.0,Casablanca,83.0,3.0,2.0,2.0,2.0,Non Specifique,Non Specifique
Appartements,Californie ,2528950.0,Casablanca,134.0,4.0,3.0,0.0,3.0,Non Specifique,Non Specifique
Appartements,Les Hôpitaux ,2012500.0,Casablanca,129.0,3.0,3.0,2.0,5.0,Non Specifique,Non Specifique
Villas,Polo ,13500000.0,Casablanca,1434.0,8.0,6.0,4.0,0.0,Non Specifique,Non Specifique
Appartements,Oasis ,2850000.0,Casablanca,195.0,4.0,3.0,3.0,1.0,Non Specifique,Non Specifique
Villas,CIL (Hay Salam) ,5990000.0,Casablanca,361.0,7.0,3.0,3.0,0.0,Non Specifique,Non Specifique
Appartements,Racine ,6000000.0,Casablanca,250.0,6.0,3.0,3.0,5.0,Non Specifique,Non Specifique
Villas,CIL (Hay Salam) ,16520000.0,Casablanca,944.0,9.0,7.0,6.0,0.0,Non Specifique,Non Specifique
Appartements,Gauthier ,2450000.0,Casablanca,167.0,3.0,2.0,3.0,2.0,Non Specifique,Non Specifique
Appartements,Oasis ,1286380.0,Casablanca,56.0,0.0,1.0,1.0,5.0,Non Specifique,Non Specifique
Appartements,Oasis ,1050660.0,Casablanca,47.0,0.0,1.0,1.0,3.0,Non Specifique,Non Specifique
Appartements,Oasis ,947400.0,Casablanca,41.0,0.0,1.0,1.0,2.0,Non Specifique,Non Specifique
Appartements,Oasis ,1268400.0,Casablanca,56.0,0.0,1.0,1.0,2.0,Non Specifique,Non Specifique
Appartements,Oasis ,1223060.0,Casablanca,58.0,0.0,1.0,1.0,1.0,Non Specifique,Non Specifique
Appartements,Oasis ,1039960.0,Casablanca,49.0,0.0,1.0,1.0,1.0,Non Specifique,Non Specifique
Appartements,Oasis ,1247000.0,Casablanca,55.0,0.0,1.0,1.0,1.0,Non Specifique,Non Specifique
Appartements,Oasis ,1280170.0,Casablanca,58.0,0.0,1.0,1.0,1.0,Non Specifique,Non Specifique
Appartements,Oasis ,1317080.0,Casablanca,63.0,0.0,1.0,1.0,1.0,Non Specifique,Non Specifique
Appartements,Oasis ,968800.0,Casablanca,42.0,0.0,1.0,1.0,2.0,Non Specifique,Non Specifique
Appartements,Oasis ,1154980.0,Casablanca,52.0,0.0,1.0,1.0,3.0,Non Specifique,Non Specifique
Appartements,Oasis ,802415.0,Casablanca,37.0,0.0,1.0,1.0,3.0,Non Specifique,Non Specifique
Appartements,Oasis ,947400.0,Casablanca,41.0,0.0,1.0,1.0,0.0,Non Specifique,Non Specifique
Appartements,Oasis ,915300.0,Casablanca,40.0,0.0,1.0,1.0,3.0,Non Specifique,Non Specifique
Appartements,Casablanca Finance City ,1824000.0,Casablanca,98.0,3.0,2.0,2.0,0.0,Non Specifique,Non Specifique
Villas,Californie ,12808345.0,Casablanca,1250.0,15.0,15.0,5.0,0.0,Non Specifique,Non Specifique
Appartements,Hay Zobir ,730000.0,Casablanca,65.0,5.0,2.0,1.0,1.0,Non Specifique,Non Specifique
Appartements,Californie ,1350000.0,Casablanca,104.0,3.0,2.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,Palmier ,1500000.0,Casablanca,93.0,3.0,2.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,Les princesses ,990000.0,Casablanca,45.0,1.0,1.0,1.0,0.0,Non Specifique,Non Specifique
Villas,Californie ,44800000.0,Casablanca,5000.0,12.0,7.0,6.0,0.0,Non Specifique,Non Specifique
Appartements,Gauthier ,3500000.0,Casablanca,210.0,4.0,3.0,2.0,1.0,Non Specifique,Non Specifique
